Freq.	V(vout)
Step Information: Rc=100  (Run: 1/18)
5.50216727255904e+001	(-1.19107728231094e+001dB,-1.78911336929713e+002°)
5.54043787244376e+001	(-1.19107518856470e+001dB,-1.78918855502874e+002°)
5.57897466540169e+001	(-1.19107312363375e+001dB,-1.78926322179049e+002°)
5.61777950295205e+001	(-1.19107108712170e+001dB,-1.78933737315979e+002°)
5.65685424949245e+001	(-1.19106907863758e+001dB,-1.78941101268947e+002°)
5.69620078238835e+001	(-1.19106709779576e+001dB,-1.78948414390841e+002°)
5.73582099206338e+001	(-1.19106514421592e+001dB,-1.78955677032125e+002°)
5.77571678209005e+001	(-1.19106321752298e+001dB,-1.78962889540869e+002°)
5.81589006928131e+001	(-1.19106131734707e+001dB,-1.78970052262684e+002°)
5.85634278378257e+001	(-1.19105944332327e+001dB,-1.78977165540840e+002°)
5.89707686916448e+001	(-1.19105759509181e+001dB,-1.78984229716327e+002°)
5.93809428251627e+001	(-1.19105577229778e+001dB,-1.78991245127652e+002°)
5.97939699453983e+001	(-1.19105397459120e+001dB,-1.78998212111132e+002°)
6.02098698964434e+001	(-1.19105220162691e+001dB,-1.79005131000691e+002°)
6.06286626604167e+001	(-1.19105045306445e+001dB,-1.79012002127975e+002°)
6.10503683584231e+001	(-1.19104872856808e+001dB,-1.79018825822361e+002°)
6.14750072515213e+001	(-1.19104702780664e+001dB,-1.79025602410936e+002°)
6.19025997416964e+001	(-1.19104535045359e+001dB,-1.79032332218570e+002°)
6.23331663728408e+001	(-1.19104369618677e+001dB,-1.79039015567926e+002°)
6.27667278317409e+001	(-1.19104206468863e+001dB,-1.79045652779343e+002°)
6.32033049490710e+001	(-1.19104045564574e+001dB,-1.79052244171101e+002°)
6.36429187003943e+001	(-1.19103886874924e+001dB,-1.79058790059195e+002°)
6.40855902071706e+001	(-1.19103730369430e+001dB,-1.79065290757468e+002°)
6.45313407377709e+001	(-1.19103576018041e+001dB,-1.79071746577611e+002°)
6.49801917084997e+001	(-1.19103423791117e+001dB,-1.79078157829136e+002°)
6.54321646846233e+001	(-1.19103273659425e+001dB,-1.79084524819520e+002°)
6.58872813814067e+001	(-1.19103125594129e+001dB,-1.79090847854068e+002°)
6.63455636651562e+001	(-1.19102979566801e+001dB,-1.79097127235927e+002°)
6.68070335542704e+001	(-1.19102835549392e+001dB,-1.79103363266238e+002°)
6.72717132202981e+001	(-1.19102693514247e+001dB,-1.79109556244097e+002°)
6.77396249890031e+001	(-1.19102553434086e+001dB,-1.79115706466431e+002°)
6.82107913414375e+001	(-1.19102415282006e+001dB,-1.79121814228238e+002°)
6.86852349150212e+001	(-1.19102279031479e+001dB,-1.79127879822428e+002°)
6.91629785046302e+001	(-1.19102144656334e+001dB,-1.79133903539857e+002°)
6.96440450636909e+001	(-1.19102012130763e+001dB,-1.79139885669479e+002°)
7.01284577052838e+001	(-1.19101881429317e+001dB,-1.79145826498231e+002°)
7.06162397032534e+001	(-1.19101752526889e+001dB,-1.79151726311010e+002°)
7.11074144933266e+001	(-1.19101625398725e+001dB,-1.79157585390794e+002°)
7.16020056742388e+001	(-1.19101500020410e+001dB,-1.79163404018647e+002°)
7.21000370088674e+001	(-1.19101376367858e+001dB,-1.79169182473663e+002°)
7.26015324253739e+001	(-1.19101254417325e+001dB,-1.79174921033019e+002°)
7.31065160183531e+001	(-1.19101134145384e+001dB,-1.79180619971961e+002°)
7.36150120499911e+001	(-1.19101015528935e+001dB,-1.79186279563900e+002°)
7.41270449512307e+001	(-1.19100898545198e+001dB,-1.79191900080312e+002°)
7.46426393229457e+001	(-1.19100783171703e+001dB,-1.79197481790848e+002°)
7.51618199371220e+001	(-1.19100669386290e+001dB,-1.79203024963264e+002°)
7.56846117380488e+001	(-1.19100557167100e+001dB,-1.79208529863488e+002°)
7.62110398435161e+001	(-1.19100446492582e+001dB,-1.79213996755609e+002°)
7.67411295460223e+001	(-1.19100337341476e+001dB,-1.79219425901926e+002°)
7.72749063139888e+001	(-1.19100229692818e+001dB,-1.79224817562909e+002°)
7.78123957929840e+001	(-1.19100123525927e+001dB,-1.79230171997214e+002°)
7.83536238069553e+001	(-1.19100018820416e+001dB,-1.79235489461787e+002°)
7.88986163594699e+001	(-1.19099915556168e+001dB,-1.79240770211692e+002°)
7.94473996349641e+001	(-1.19099813713353e+001dB,-1.79246014500379e+002°)
8.00000000000012e+001	(-1.19099713272400e+001dB,-1.79251222579416e+002°)
8.05564440045387e+001	(-1.19099614214019e+001dB,-1.79256394698705e+002°)
8.11167583832036e+001	(-1.19099516519184e+001dB,-1.79261531106452e+002°)
8.16809700565767e+001	(-1.19099420169131e+001dB,-1.79266632049117e+002°)
8.22491061324866e+001	(-1.19099325145343e+001dB,-1.79271697771444e+002°)
8.28211939073115e+001	(-1.19099231429576e+001dB,-1.79276728516538e+002°)
8.33972608672910e+001	(-1.19099139003820e+001dB,-1.79281724525800e+002°)
8.39773346898467e+001	(-1.19099047850329e+001dB,-1.79286686038983e+002°)
8.45614432449118e+001	(-1.19098957951583e+001dB,-1.79291613294157e+002°)
8.51496145962701e+001	(-1.19098869290317e+001dB,-1.79296506527794e+002°)
8.57418770029048e+001	(-1.19098781849506e+001dB,-1.79301365974727e+002°)
8.63382589203556e+001	(-1.19098695612340e+001dB,-1.79306191868147e+002°)
8.69387890020860e+001	(-1.19098610562264e+001dB,-1.79310984439670e+002°)
8.75434961008606e+001	(-1.19098526682931e+001dB,-1.79315743919279e+002°)
8.81524092701303e+001	(-1.19098443958231e+001dB,-1.79320470535425e+002°)
8.87655577654290e+001	(-1.19098362372273e+001dB,-1.79325164514942e+002°)
8.93829710457790e+001	(-1.19098281909384e+001dB,-1.79329826083106e+002°)
9.00046787751062e+001	(-1.19098202554101e+001dB,-1.79334455463654e+002°)
9.06307108236654e+001	(-1.19098124291190e+001dB,-1.79339052878773e+002°)
9.12610972694754e+001	(-1.19098047105602e+001dB,-1.79343618549120e+002°)
9.18958683997643e+001	(-1.19097970982523e+001dB,-1.79348152693833e+002°)
9.25350547124245e+001	(-1.19097895907321e+001dB,-1.79352655530553e+002°)
9.31786869174780e+001	(-1.19097821865575e+001dB,-1.79357127275398e+002°)
9.38267959385519e+001	(-1.19097748843059e+001dB,-1.79361568143004e+002°)
9.44794129143640e+001	(-1.19097676825744e+001dB,-1.79365978346559e+002°)
9.51365692002193e+001	(-1.19097605799796e+001dB,-1.79370358097712e+002°)
9.57982963695159e+001	(-1.19097535751570e+001dB,-1.79374707606723e+002°)
9.64646262152625e+001	(-1.19097466667608e+001dB,-1.79379027082356e+002°)
9.71355907516054e+001	(-1.19097398534641e+001dB,-1.79383316731964e+002°)
9.78112222153672e+001	(-1.19097331339571e+001dB,-1.79387576761485e+002°)
9.84915530675950e+001	(-1.19097265069495e+001dB,-1.79391807375381e+002°)
9.91766159951206e+001	(-1.19097199711679e+001dB,-1.79396008776704e+002°)
9.98664439121307e+001	(-1.19097135253571e+001dB,-1.79400181167244e+002°)
1.00561069961748e+002	(-1.19097071682778e+001dB,-1.79404324747227e+002°)
1.01260527517624e+002	(-1.19097008987098e+001dB,-1.79408439715549e+002°)
1.01964850185543e+002	(-1.19096947154473e+001dB,-1.79412526269805e+002°)
1.02674071805034e+002	(-1.19096886173034e+001dB,-1.79416584606164e+002°)
1.03388226451001e+002	(-1.19096826031057e+001dB,-1.79420614919427e+002°)
1.04107348435357e+002	(-1.19096766716993e+001dB,-1.79424617403107e+002°)
1.04831472308671e+002	(-1.19096708219445e+001dB,-1.79428592249347e+002°)
1.05560632861833e+002	(-1.19096650527170e+001dB,-1.79432539648970e+002°)
1.06294865127723e+002	(-1.19096593629091e+001dB,-1.79436459791494e+002°)
1.07034204382891e+002	(-1.19096537514269e+001dB,-1.79440352865125e+002°)
1.07778686149257e+002	(-1.19096482171927e+001dB,-1.79444219056784e+002°)
1.08528346195816e+002	(-1.19096427591426e+001dB,-1.79448058552044e+002°)
1.09283220540354e+002	(-1.19096373762290e+001dB,-1.79451871535285e+002°)
1.10043345451182e+002	(-1.19096320674163e+001dB,-1.79455658189576e+002°)
1.10808757448876e+002	(-1.19096268316855e+001dB,-1.79459418696697e+002°)
1.11579493308035e+002	(-1.19096216680307e+001dB,-1.79463153237208e+002°)
1.12355590059042e+002	(-1.19096165754596e+001dB,-1.79466861990412e+002°)
1.13137084989850e+002	(-1.19096115529930e+001dB,-1.79470545134404e+002°)
1.13924015647768e+002	(-1.19096065996666e+001dB,-1.79474202846014e+002°)
1.14716419841268e+002	(-1.19096017145287e+001dB,-1.79477835300846e+002°)
1.15514335641802e+002	(-1.19095968966407e+001dB,-1.79481442673322e+002°)
1.16317801385627e+002	(-1.19095921450764e+001dB,-1.79485025136661e+002°)
1.17126855675652e+002	(-1.19095874589236e+001dB,-1.79488582862870e+002°)
1.17941537383290e+002	(-1.19095828372814e+001dB,-1.79492116022769e+002°)
1.18761885650326e+002	(-1.19095782792618e+001dB,-1.79495624786027e+002°)
1.19587939890797e+002	(-1.19095737839891e+001dB,-1.79499109321114e+002°)
1.20419739792888e+002	(-1.19095693505996e+001dB,-1.79502569795332e+002°)
1.21257325320834e+002	(-1.19095649782414e+001dB,-1.79506006374886e+002°)
1.22100736716847e+002	(-1.19095606660745e+001dB,-1.79509419224747e+002°)
1.22950014503043e+002	(-1.19095564132702e+001dB,-1.79512808508807e+002°)
1.23805199483394e+002	(-1.19095522190115e+001dB,-1.79516174389835e+002°)
1.24666332745682e+002	(-1.19095480824926e+001dB,-1.79519517029456e+002°)
1.25533455663483e+002	(-1.19095440029184e+001dB,-1.79522836588150e+002°)
1.26406609898143e+002	(-1.19095399795051e+001dB,-1.79526133225356e+002°)
1.27285837400790e+002	(-1.19095360114798e+001dB,-1.79529407099350e+002°)
1.28171180414342e+002	(-1.19095320980796e+001dB,-1.79532658367378e+002°)
1.29062681475543e+002	(-1.19095282385533e+001dB,-1.79535887185543e+002°)
1.29960383417000e+002	(-1.19095244321585e+001dB,-1.79539093708902e+002°)
1.30864329369248e+002	(-1.19095206781647e+001dB,-1.79542278091440e+002°)
1.31774562762814e+002	(-1.19095169758497e+001dB,-1.79545440486103e+002°)
1.32691127330313e+002	(-1.19095133245023e+001dB,-1.79548581044718e+002°)
1.33614067108542e+002	(-1.19095097234215e+001dB,-1.79551699918119e+002°)
1.34543426440597e+002	(-1.19095061719147e+001dB,-1.79554797256064e+002°)
1.35479249978007e+002	(-1.19095026692998e+001dB,-1.79557873207334e+002°)
1.36421582682876e+002	(-1.19094992149036e+001dB,-1.79560927919629e+002°)
1.37370469830043e+002	(-1.19094958080623e+001dB,-1.79563961539639e+002°)
1.38325957009261e+002	(-1.19094924481215e+001dB,-1.79566974213050e+002°)
1.39288090127383e+002	(-1.19094891344355e+001dB,-1.79569966084559e+002°)
1.40256915410569e+002	(-1.19094858663674e+001dB,-1.79572937297830e+002°)
1.41232479406508e+002	(-1.19094826432894e+001dB,-1.79575887995576e+002°)
1.42214828986654e+002	(-1.19094794645820e+001dB,-1.79578818319496e+002°)
1.43204011348479e+002	(-1.19094763296346e+001dB,-1.79581728410314e+002°)
1.44200074017736e+002	(-1.19094732378446e+001dB,-1.79584618407811e+002°)
1.45203064850749e+002	(-1.19094701886183e+001dB,-1.79587488450757e+002°)
1.46213032036707e+002	(-1.19094671813696e+001dB,-1.79590338676999e+002°)
1.47230024099983e+002	(-1.19094642155205e+001dB,-1.79593169223433e+002°)
1.48254089902463e+002	(-1.19094612905009e+001dB,-1.79595980225982e+002°)
1.49285278645892e+002	(-1.19094584057492e+001dB,-1.79598771819662e+002°)
1.50323639874245e+002	(-1.19094555607107e+001dB,-1.79601544138543e+002°)
1.51369223476099e+002	(-1.19094527548386e+001dB,-1.79604297315779e+002°)
1.52422079687033e+002	(-1.19094499875945e+001dB,-1.79607031483587e+002°)
1.53482259092046e+002	(-1.19094472584458e+001dB,-1.79609746773302e+002°)
1.54549812627979e+002	(-1.19094445668685e+001dB,-1.79612443315309e+002°)
1.55624791585969e+002	(-1.19094419123453e+001dB,-1.79615121239141e+002°)
1.56707247613912e+002	(-1.19094392943661e+001dB,-1.79617780673415e+002°)
1.57797232718941e+002	(-1.19094367124279e+001dB,-1.79620421745856e+002°)
1.58894799269929e+002	(-1.19094341660344e+001dB,-1.79623044583317e+002°)
1.60000000000004e+002	(-1.19094316546968e+001dB,-1.79625649311750e+002°)
1.61112888009079e+002	(-1.19094291779316e+001dB,-1.79628236056286e+002°)
1.62233516766408e+002	(-1.19094267352635e+001dB,-1.79630804941158e+002°)
1.63361940113155e+002	(-1.19094243262232e+001dB,-1.79633356089745e+002°)
1.64498212264974e+002	(-1.19094219503474e+001dB,-1.79635889624580e+002°)
1.65642387814624e+002	(-1.19094196071799e+001dB,-1.79638405667360e+002°)
1.66794521734583e+002	(-1.19094172962698e+001dB,-1.79640904338925e+002°)
1.67954669379695e+002	(-1.19094150171741e+001dB,-1.79643385759285e+002°)
1.69122886489825e+002	(-1.19094127694538e+001dB,-1.79645850047629e+002°)
1.70299229192542e+002	(-1.19094105526774e+001dB,-1.79648297322315e+002°)
1.71483754005811e+002	(-1.19094083664189e+001dB,-1.79650727700895e+002°)
1.72676517840712e+002	(-1.19094062102584e+001dB,-1.79653141300107e+002°)
1.73877578004173e+002	(-1.19094040837813e+001dB,-1.79655538235881e+002°)
1.75086992201722e+002	(-1.19094019865789e+001dB,-1.79657918623349e+002°)
1.76304818540262e+002	(-1.19093999182479e+001dB,-1.79660282576821e+002°)
1.77531115530859e+002	(-1.19093978783920e+001dB,-1.79662630209885e+002°)
1.78765942091559e+002	(-1.19093958666183e+001dB,-1.79664961635266e+002°)
1.80009357550214e+002	(-1.19093938825401e+001dB,-1.79667276964984e+002°)
1.81261421647332e+002	(-1.19093919257765e+001dB,-1.79669576310219e+002°)
1.82522194538952e+002	(-1.19093899959513e+001dB,-1.79671859781446e+002°)
1.83791736799530e+002	(-1.19093880926938e+001dB,-1.79674127488321e+002°)
1.85070109424850e+002	(-1.19093862156381e+001dB,-1.79676379539784e+002°)
1.86357373834957e+002	(-1.19093843644237e+001dB,-1.79678616044001e+002°)
1.87653591877105e+002	(-1.19093825386949e+001dB,-1.79680837108415e+002°)
1.88958825828729e+002	(-1.19093807381006e+001dB,-1.79683042839693e+002°)
1.90273138400440e+002	(-1.19093789622950e+001dB,-1.79685233343804e+002°)
1.91596592739033e+002	(-1.19093772109363e+001dB,-1.79687408725956e+002°)
1.92929252430526e+002	(-1.19093754836886e+001dB,-1.79689569090642e+002°)
1.94271181503212e+002	(-1.19093737802201e+001dB,-1.79691714541630e+002°)
1.95622444430736e+002	(-1.19093721002027e+001dB,-1.79693845181998e+002°)
1.96983106135191e+002	(-1.19093704433140e+001dB,-1.79695961114068e+002°)
1.98353231990243e+002	(-1.19093688092355e+001dB,-1.79698062439496e+002°)
1.99732887824263e+002	(-1.19093671976533e+001dB,-1.79700149259214e+002°)
2.01122139923497e+002	(-1.19093656082578e+001dB,-1.79702221673451e+002°)
2.02521055035250e+002	(-1.19093640407430e+001dB,-1.79704279781774e+002°)
2.03929700371087e+002	(-1.19093624948085e+001dB,-1.79706323683035e+002°)
2.05348143610070e+002	(-1.19093609701568e+001dB,-1.79708353475421e+002°)
2.06776452902004e+002	(-1.19093594664947e+001dB,-1.79710369256422e+002°)
2.08214696870715e+002	(-1.19093579835336e+001dB,-1.79712371122887e+002°)
2.09662944617343e+002	(-1.19093565209883e+001dB,-1.79714359170971e+002°)
2.11121265723668e+002	(-1.19093550785777e+001dB,-1.79716333496151e+002°)
2.12589730255447e+002	(-1.19093536560248e+001dB,-1.79718294193298e+002°)
2.14068408765783e+002	(-1.19093522530564e+001dB,-1.79720241356583e+002°)
2.15557372298516e+002	(-1.19093508694022e+001dB,-1.79722175079548e+002°)
2.17056692391633e+002	(-1.19093495047970e+001dB,-1.79724095455076e+002°)
2.18566441080709e+002	(-1.19093481589784e+001dB,-1.79726002575408e+002°)
